 -2    2 25   3  8   3 37   3 59   4 18   4 33   4 57   5 18   5 36   5 53   6 10   6 29   6 39   6 51   6 51   6 56   7  1   7  7   7 13   7 20   7 27   7 35   7 44   7 55   8  6   8 19   8 35   8 55
  2    2 30   3 12   3 41   4  3   4 21   4 36   5  0   5 20   5 38   5 54   6 11   6 30   6 40   6 52   6 52   6 57   7  2   7  8   7 14   7 20   7 28   7 35   7 44   7 54   8  5   8 18   8 34   8 52
  6    2 37   3 17   3 45   4  7   4 24   4 39   5  3   5 22   5 40   5 56   6 13   6 31   6 41   6 52   6 52   6 57   7  2   7  7   7 13   7 20   7 27   7 35   7 43   7 53   8  3   8 16   8 31   8 49
 10    2 44   3 23   3 50   4 11   4 28   4 42   5  5   5 24   5 41   5 57   6 14   6 31   6 41   6 52   6 52   6 56   7  1   7  7   7 12   7 19   7 25   7 33   7 41   7 50   8  1   8 12   8 27   8 43
 14    2 53   3 29   3 55   4 15   4 32   4 46   5  8   5 27   5 43   5 59   6 14   6 31   6 40   6 51   6 51   6 55   7  0   7  5   7 11   7 17   7 23   7 30   7 38   7 47   7 56   8  8   8 21   8 37
 18    3  2   3 36   4  1   4 20   4 36   4 49   5 11   5 29   5 45   5 59   6 14   6 30   6 39   6 49   6 49   6 54   6 58   7  3   7  8   7 14   7 20   7 27   7 34   7 42   7 51   8  2   8 14   8 29
 22    3 11   3 44   4  7   4 25   4 40   4 53   5 14   5 31   5 46   6  0   6 14   6 30   6 38   6 47   6 47   6 51   6 56   7  0   7  5   7 10   7 16   7 22   7 29   7 37   7 46   7 55   8  7   8 20
 26    3 21   3 51   4 13   4 31   4 45   4 57   5 17   5 33   5 47   6  0   6 14   6 28   6 36   6 45   6 45   6 49   6 53   6 57   7  2   7  6   7 12   7 17   7 24   7 31   7 39   7 48   7 58   8 10
 30    3 31   3 59   4 20   4 36   4 49   5  1   5 19   5 35   5 48   6  1   6 13   6 26   6 34   6 42   6 42   6 45   6 49   6 53   6 57   7  2   7  7   7 12   7 18   7 24   7 31   7 39   7 49   8  0
 34    3 41   4  7   4 26   4 41   4 54   5  4   5 22   5 36   5 49   6  0   6 12   6 24   6 31   6 39   6 39   6 42   6 45   6 49   6 52   6 57   7  1   7  6   7 11   7 17   7 23   7 30   7 39   7 48
