 94    5 11   5 15   5 17   5 19   5 20   5 21   5 20   5 18   5 15   5 10   5  3   4 54   4 48   4 40   4 40   4 37   4 33   4 29   4 24   4 19   4 13   4  6   3 59   3 50   3 40   3 28   3 13   2 55
 98    5 19   5 21   5 22   5 23   5 23   5 23   5 21   5 18   5 14   5  8   5  0   4 49   4 42   4 33   4 33   4 29   4 25   4 20   4 15   4  9   4  2   3 55   3 46   3 37   3 25   3 11   2 54   2 33
102    5 26   5 27   5 27   5 27   5 26   5 25   5 22   5 18   5 12   5  5   4 56   4 44   4 36   4 27   4 27   4 22   4 17   4 12   4  6   3 59   3 52   3 44   3 34   3 23   3 10   2 54   2 34   2  7
106    5 33   5 33   5 32   5 31   5 29   5 27   5 23   5 18   5 11   5  3   4 53   4 39   4 30   4 20   4 20   4 15   4 10   4  4   3 57   3 50   3 42   3 32   3 21   3  9   2 54   2 35   2 11   1 36
110    5 40   5 38   5 36   5 34   5 32   5 30   5 24   5 18   5 10   5  1   4 49   4 34   4 25   4 13   4 13   4  8   4  2   3 55   3 48   3 40   3 31   3 21   3  9   2 54   2 37   2 15   1 45   0 54
114    5 47   5 44   5 41   5 38   5 35   5 32   5 25   5 18   5  9   4 59   4 46   4 30   4 19   4  7   4  7   4  1   3 54   3 47   3 39   3 31   3 21   3  9   2 55   2 39   2 19   1 53   1 13  ** **
118    5 54   5 50   5 45   5 42   5 38   5 34   5 26   5 18   5  8   4 57   4 43   4 25   4 14   4  0   4  0   3 54   3 47   3 39   3 31   3 21   3 10   2 57   2 42   2 24   2  0   1 27   0  8  ** **
122    6  0   5 55   5 50   5 45   5 41   5 36   5 27   5 18   5  7   4 55   4 40   4 21   4  9   3 54   3 54   3 48   3 40   3 32   3 22   3 12   3  0   2 46   2 29   2  7   1 39   0 53  ** **  ** **
126    6  7   6  0   5 54   5 49   5 43   5 38   5 28   5 18   5  7   4 54   4 38   4 17   4  4   3 49   3 49   3 41   3 33   3 24   3 14   3  3   2 49   2 34   2 15   1 50   1 14  ** **  ** **  ** **
130    6 13   6  5   5 58   5 52   5 46   5 41   5 30   5 18   5  6   4 52   4 35   4 14   4  0   3 43   3 43   3 35   3 27   3 17   3  6   2 54   2 39   2 22   2  0   1 31   0 41  ** **  ** **  ** **
134    6 19   6 10   6  2   5 55   5 49   5 43   5 31   5 19   5  6   4 51   4 33   4 10   3 56   3 38   3 38   3 30   3 21   3 10   2 59   2 45   2 30   2 10   1 46   1 10  ** **  ** **  ** **  ** **
138    6 24   6 14   6  6   5 58   5 51   5 45   5 32   5 19   5  5   4 50   4 31   4  7   3 52   3 33   3 33   3 25   3 15   3  4   2 52   2 37   2 20   1 59   1 30   0 42  ** **  ** **  ** **  ** **
142    6 29   6 19   6 10   6  2   5 54   5 47   5 33   5 20   5  5   4 49   4 30   4  5   3 49   3 29   3 29   3 20   3 10   2 58   2 45   2 30   2 11   1 47   1 13  ** **  ** **  ** **  ** **  ** **
146    6 34   6 23   6 13   6  4   5 56   5 49   5 35   5 21   5  5   4 49   4 28   4  2   3 46   3 26   3 26   3 16   3  5   2 53   2 39   2 22   2  2   1 36   0 55  ** **  ** **  ** **  ** **  ** **
150    6 39   6 27   6 16   6  7   5 59   5 51   5 36   5 21   5  6   4 48   4 27   4  1   3 43   3 22   3 22   3 12   3  1   2 48   2 34   2 16   1 54   1 25   0 30  ** **  ** **  ** **  ** **  ** **
154    6 43   6 30   6 19   6 10   6  1   5 53   5 37   5 22   5  6   4 48   4 27   3 59   3 42   3 20   3 20   3 10   2 58   2 45   2 29   2 11   1 47   1 14  ** **  ** **  ** **  ** **  ** **  ** **
158    6 46   6 33   6 22   6 12   6  3   5 55   5 39   5 23   5  7   4 48   4 26   3 58   3 40   3 18   3 18   3  7   2 55   2 42   2 26   2  6   1 41   1  4  ** **  ** **  ** **  ** **  ** **  ** **
162    6 49   6 35   6 24   6 14   6  5   5 56   5 40   5 24   5  7   4 49   4 26   3 58   3 39   3 17   3 17   3  6   2 54   2 40   2 23   2  3   1 37   0 56  ** **  ** **  ** **  ** **  ** **  ** **
166    6 51   6 37   6 26   6 15   6  6   5 57   5 41   5 25   5  8   4 49   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 21   2  1   1 34   0 49  ** **  ** **  ** **  ** **  ** **  ** **
170    6 53   6 39   6 27   6 17   6  7   5 59   5 42   5 26   5  9   4 50   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 32   0 45  ** **  ** **  ** **  ** **  ** **  ** **
174    6 54   6 40   6 28   6 18   6  8   5 59   5 43   5 27   5 10   4 51   4 28   3 59   3 40   3 17   3 17   3  6   2 53   2 39   2 22   2  1   1 33   0 46  ** **  ** **  ** **  ** **  ** **  ** **
178    6 54   6 40   6 28   6 18   6  9   6  0   5 44   5 28   5 11   4 52   4 29   4  0   3 42   3 18   3 18   3  7   2 55   2 41   2 24   2  3   1 35   0 50  ** **  ** **  ** **  ** **  ** **  ** **
182    6 54   6 40   6 28   6 18   6  9   6  0   5 44   5 28   5 11   4 53   4 30   4  2   3 43   3 20   3 20   3 10   2 57   2 43   2 26   2  6   1 39   0 57  ** **  ** **  ** **  ** **  ** **  ** **
186    6 52   6 39   6 28   6 18   6  9   6  0   5 45   5 29   5 12   4 54   4 32   4  4   3 45   3 23   3 23   3 12   3  0   2 46   2 30   2 11   1 45   1  7  ** **  ** **  ** **  ** **  ** **  ** **
190    6 50   6 38   6 27   6 17   6  8   6  0   5 45   5 29   5 13   4 55   4 34   4  6   3 48   3 26   3 26   3 16   3  4   2 51   2 35   2 16   1 52   1 18  ** **  ** **  ** **  ** **  ** **  ** **
194    6 48   6 36   6 25   6 16   6  7   6  0   5 45   5 30   5 14   4 56   4 35   4  8   3 51   3 30   3 30   3 20   3  8   2 55   2 40   2 22   2  0   1 29   0 24  ** **  ** **  ** **  ** **  ** **
198    6 44   6 33   6 23   6 14   6  6   5 59   5 44   5 30   5 15   4 57   4 37   4 11   3 54   3 33   3 33   3 24   3 13   3  0   2 46   2 29   2  9   1 41   0 56  ** **  ** **  ** **  ** **  ** **
202    6 40   6 30   6 20   6 12   6  4   5 57   5 43   5 30   5 15   4 59   4 39   4 14   3 57   3 38   3 38   3 28   3 18   3  6   2 53   2 37   2 18   1 53   1 17  ** **  ** **  ** **  ** **  ** **
206    6 36   6 26   6 17   6  9   6  2   5 55   5 43   5 29   5 15   5  0   4 41   4 16   4  1   3 42   3 42   3 33   3 23   3 12   2 59   2 45   2 27   2  5   1 34   0 36  ** **  ** **  ** **  ** **
210    6 30   6 21   6 13   6  6   6  0   5 53   5 41   5 29   5 16   5  1   4 43   4 19   4  5   3 47   3 47   3 38   3 29   3 18   3  6   2 53   2 36   2 16   1 50   1 10  ** **  ** **  ** **  ** **
214    6 24   6 16   6  9   6  3   5 57   5 51   5 40   5 28   5 16   5  2   4 44   4 22   4  8   3 51   3 51   3 43   3 35   3 25   3 14   3  1   2 46   2 28   2  5   1 33   0 26  ** **  ** **  ** **
218    6 18   6 11   6  5   5 59   5 54   5 48   5 38   5 27   5 16   5  2   4 46   4 25   4 12   3 56   3 56   3 49   3 40   3 31   3 21   3  9   2 55   2 39   2 19   1 53   1 12  ** **  ** **  ** **
222    6 11   6  5   6  0   5 55   5 50   5 45   5 36   5 26   5 16   5  3   4 48   4 28   4 16   4  1   4  1   3 54   3 46   3 38   3 28   3 17   3  4   2 50   2 32   2  9   1 38   0 39  ** **  ** **
226    6  3   5 59   5 54   5 50   5 46   5 42   5 34   5 25   5 15   5  4   4 50   4 31   4 20   4  6   4  6   3 59   3 52   3 44   3 35   3 25   3 14   3  0   2 44   2 25   1 59   1 22  ** **  ** **
230    5 55   5 52   5 48   5 45   5 42   5 38   5 31   5 24   5 15   5  4   4 51   4 34   4 23   4 10   4 10   4  4   3 58   3 50   3 42   3 33   3 22   3 10   2 56   2 39   2 18   1 48   1  0  ** **
234    5 47   5 45   5 42   5 40   5 37   5 35   5 29   5 22   5 14   5  4   4 53   4 37   4 27   4 15   4 15   4  9   4  3   3 57   3 49   3 41   3 31   3 20   3  8   2 52   2 34   2 10   1 36   0 16
238    5 38   5 37   5 36   5 34   5 33   5 30   5 26   5 20   5 13   5  5   4 54   4 40   4 31   4 20   4 20   4 14   4  9   4  3   3 56   3 48   3 40   3 30   3 18   3  5   2 49   2 29   2  2   1 22
242    5 29   5 29   5 29   5 29   5 28   5 26   5 23   5 18   5 12   5  5   4 55   4 42   4 34   4 24   4 24   4 19   4 14   4  9   4  3   3 56   3 48   3 39   3 29   3 17   3  3   2 46   2 24   1 54
246    5 20   5 21   5 22   5 23   5 22   5 22   5 19   5 16   5 11   5  5   4 56   4 45   4 37   4 28   4 28   4 24   4 20   4 15   4  9   4  3   3 56   3 48   3 39   3 29   3 16   3  1   2 43   2 19
250    5 10   5 13   5 15   5 16   5 17   5 17   5 16   5 14   5 10   5  5   4 57   4 47   4 41   4 33   4 33   4 29   4 25   4 20   4 16   4 10   4  4   3 57   3 49   3 40   3 29   3 16   3  0   2 41
254    5  0   5  4   5  8   5 10   5 11   5 12   5 13   5 11   5  9   5  5   4 58   4 50   4 44   4 37   4 37   4 34   4 30   4 26   4 22   4 17   4 11   4  5   3 58   3 50   3 41   3 30   3 16   3  0
258    4 49   4 56   5  0   5  3   5  6   5  7   5  9   5  9   5  7   5  4   4 59   4 52   4 47   4 41   4 41   4 38   4 35   4 32   4 28   4 24   4 19   4 13   4  7   4  0   3 52   3 42   3 31   3 17
262    4 39   4 47   4 52   4 57   5  0   5  2   5  5   5  6   5  6   5  4   5  0   4 55   4 50   4 45   4 45   4 43   4 40   4 37   4 34   4 30   4 26   4 21   4 16   4 10   4  3   3 55   3 45   3 33
266    4 28   4 37   4 44   4 50   4 54   4 57   5  2   5  4   5  5   5  4   5  1   4 57   4 54   4 49   4 49   4 47   4 45   4 43   4 40   4 37   4 33   4 29   4 25   4 20   4 14   4  7   3 59   3 49
270    4 17   4 28   4 37   4 43   4 48   4 52   4 58   5  1   5  3   5  3   5  2   4 59   4 57   4 53   4 53   4 52   4 50   4 48   4 46   4 43   4 40   4 37   4 33   4 29   4 24   4 18   4 11   4  3
274    4  6   4 19   4 29   4 36   4 42   4 47   4 54   4 59   5  2   5  3   5  3   5  1   5  0   4 57   4 57   4 56   4 55   4 53   4 51   4 49   4 47   4 45   4 42   4 38   4 34   4 29   4 24   4 17
278    3 54   4  9   4 20   4 29   4 36   4 42   4 50   4 56   5  0   5  3   5  4   5  4   5  3   5  1   5  1   5  1   5  0   4 58   4 57   4 56   4 54   4 52   4 50   4 47   4 44   4 40   4 36   4 31
282    3 43   4  0   4 12   4 22   4 30   4 37   4 47   4 54   4 59   5  3   5  5   5  6   5  6   5  5   5  5   5  5   5  4   5  4   5  3   5  2   5  1   4 59   4 58   4 56   4 54   4 51   4 48   4 44
286    3 31   3 50   4  4   4 16   4 24   4 32   4 43   4 52   4 58   5  3   5  6   5  8   5  9   5  9   5  9   5  9   5  9   5  9   5  8   5  8   5  7   5  7   5  6   5  5   5  3   5  1   4 59   4 57
290    3 19   3 41   3 56   4  9   4 19   4 27   4 40   4 49   4 57   5  3   5  7   5 11   5 12   5 13   5 13   5 14   5 14   5 14   5 14   5 14   5 14   5 14   5 14   5 13   5 13   5 12   5 11   5  9
294    3  7   3 31   3 49   4  2   4 13   4 22   4 37   4 47   4 56   5  3   5  9   5 13   5 15   5 17   5 17   5 18   5 19   5 19   5 20   5 20   5 21   5 21   5 21   5 22   5 22   5 22   5 22   5 22
298    2 55   3 22   3 41   3 56   4  8   4 18   4 34   4 45   4 55   5  3   5 10   5 16   5 19   5 21   5 21   5 22   5 23   5 24   5 25   5 26   5 27   5 28   5 29   5 30   5 31   5 32   5 33   5 34
302    2 43   3 12   3 33   3 50   4  3   4 14   4 31   4 44   4 54   5  3   5 11   5 19   5 22   5 25   5 25   5 27   5 28   5 30   5 31   5 32   5 34   5 35   5 37   5 38   5 40   5 42   5 43   5 45
306    2 30   3  3   3 26   3 44   3 58   4 10   4 28   4 42   4 54   5  4   5 13   5 21   5 25   5 30   5 30   5 31   5 33   5 35   5 36   5 38   5 40   5 42   5 44   5 46   5 49   5 51   5 54   5 57
310    2 18   2 54   3 19   3 38   3 53   4  6   4 26   4 41   4 54   5  5   5 15   5 24   5 29   5 34   5 34   5 36   5 38   5 40   5 42   5 44   5 47   5 49   5 52   5 54   5 57   6  1   6  4   6  8
314    2  5   2 45   3 12   3 33   3 49   4  3   4 24   4 40   4 54   5  5   5 16   5 27   5 32   5 38   5 38   5 40   5 42   5 45   5 47   5 50   5 53   5 56   5 59   6  2   6  6   6 10   6 14   6 19
318    1 52   2 37   3  6   3 28   3 45   4  0   4 22   4 39   4 54   5  6   5 18   5 30   5 36   5 42   5 42   5 44   5 47   5 50   5 53   5 56   5 59   6  2   6  6   6 10   6 14   6 19   6 24   6 30
322    1 39   2 29   3  1   3 24   3 42   3 57   4 21   4 39   4 54   5  8   5 20   5 33   5 39   5 46   5 46   5 49   5 52   5 55   5 58   6  1   6  5   6  9   6 13   6 17   6 22   6 28   6 34   6 40
326    1 26   2 21   2 55   3 20   3 39   3 55   4 20   4 39   4 55   5  9   5 22   5 36   5 43   5 50   5 50   5 53   5 56   6  0   6  3   6  7   6 11   6 15   6 19   6 24   6 30   6 36   6 42   6 50
