 -2   ** **  ** **   1 42   2 30   3  0   3 24   3 58   4 23   4 43   5  0   5 15   5 30   5 37   5 44   5 44   5 47   5 50   5 53   5 56   5 59   6  3   6  6   6 10   6 14   6 18   6 23   6 28   6 33
  2   ** **  ** **   1 48   2 34   3  4   3 27   4  1   4 26   4 45   5  2   5 17   5 31   5 38   5 45   5 45   5 48   5 51   5 54   5 57   6  0   6  3   6  6   6 10   6 14   6 18   6 22   6 27   6 33
  6   ** **  ** **   1 55   2 39   3  8   3 31   4  4   4 28   4 47   5  4   5 18   5 32   5 39   5 45   5 45   5 48   5 51   5 54   5 57   6  0   6  3   6  6   6  9   6 13   6 17   6 21   6 26   6 31
 10   ** **  ** **   2  3   2 44   3 13   3 34   4  7   4 31   4 49   5  5   5 19   5 32   5 39   5 45   5 45   5 48   5 51   5 53   5 56   5 59   6  2   6  5   6  8   6 11   6 15   6 19   6 23   6 28
 14   ** **   0 51   2 11   2 50   3 18   3 39   4 10   4 33   4 51   5  7   5 20   5 33   5 39   5 45   5 45   5 47   5 50   5 52   5 55   5 57   6  0   6  3   6  6   6  9   6 12   6 15   6 19   6 23
 18   ** **   1 13   2 20   2 57   3 23   3 43   4 13   4 36   4 53   5  8   5 21   5 32   5 38   5 44   5 44   5 46   5 48   5 51   5 53   5 55   5 58   6  0   6  3   6  5   6  8   6 11   6 14   6 18
 22   ** **   1 31   2 29   3  4   3 28   3 48   4 17   4 38   4 55   5  9   5 21   5 32   5 37   5 42   5 42   5 44   5 46   5 48   5 50   5 52   5 54   5 57   5 59   6  1   6  3   6  6   6  8   6 11
 26   ** **   1 48   2 39   3 11   3 34   3 52   4 20   4 40   4 56   5  9   5 21   5 31   5 36   5 40   5 40   5 42   5 44   5 45   5 47   5 49   5 51   5 52   5 54   5 56   5 58   6  0   6  2   6  4
 30   ** **   2  3   2 48   3 18   3 40   3 57   4 23   4 42   4 57   5 10   5 20   5 29   5 34   5 38   5 38   5 39   5 41   5 42   5 43   5 45   5 46   5 48   5 49   5 50   5 51   5 53   5 54   5 55
 34    0 46   2 17   2 58   3 25   3 45   4  2   4 26   4 44   4 58   5 10   5 19   5 28   5 31   5 34   5 34   5 36   5 37   5 38   5 39   5 40   5 41   5 42   5 43   5 44   5 44   5 45   5 45   5 46
 38    1 24   2 30   3  7   3 32   3 51   4  6   4 29   4 46   4 59   5 10   5 18   5 25   5 28   5 31   5 31   5 32   5 33   5 34   5 34   5 35   5 35   5 36   5 36   5 36   5 36   5 36   5 36   5 35
 42    1 48   2 43   3 16   3 39   3 56   4 11   4 32   4 48   5  0   5  9   5 17   5 23   5 25   5 27   5 27   5 28   5 28   5 29   5 29   5 29   5 29   5 29   5 29   5 28   5 28   5 27   5 26   5 24
 46    2  9   2 55   3 24   3 45   4  2   4 15   4 35   4 49   5  0   5  9   5 15   5 20   5 21   5 23   5 23   5 23   5 23   5 23   5 23   5 23   5 22   5 22   5 21   5 20   5 18   5 17   5 15   5 12
 50    2 26   3  6   3 32   3 52   4  7   4 19   4 37   4 51   5  0   5  8   5 13   5 17   5 17   5 18   5 18   5 18   5 17   5 17   5 17   5 16   5 15   5 14   5 12   5 11   5  9   5  6   5  3   4 59
 54    2 41   3 16   3 40   3 58   4 12   4 23   4 40   4 52   5  0   5  7   5 11   5 13   5 13   5 13   5 13   5 12   5 12   5 11   5 10   5  9   5  7   5  5   5  3   5  1   4 58   4 54   4 50   4 45
 58    2 56   3 26   3 48   4  4   4 17   4 27   4 42   4 52   5  0   5  5   5  8   5  9   5  8   5  7   5  7   5  6   5  5   5  4   5  3   5  1   4 59   4 57   4 54   4 51   4 47   4 42   4 37   4 30
 62    3  9   3 36   3 55   4 10   4 21   4 30   4 44   4 53   4 59   5  4   5  5   5  5   5  4   5  1   5  1   5  0   4 59   4 57   4 55   4 53   4 50   4 47   4 44   4 40   4 35   4 29   4 23   4 14
 66    3 21   3 45   4  2   4 15   4 25   4 34   4 46   4 54   4 59   5  2   5  2   5  0   4 58   4 55   4 55   4 54   4 52   4 50   4 47   4 44   4 41   4 37   4 33   4 28   4 23   4 16   4  8   3 58
 70    3 32   3 53   4  9   4 20   4 29   4 37   4 47   4 54   4 58   5  0   4 59   4 56   4 53   4 49   4 49   4 47   4 44   4 42   4 39   4 36   4 32   4 27   4 22   4 16   4 10   4  1   3 52   3 40
 74    3 43   4  1   4 15   4 25   4 33   4 40   4 49   4 54   4 57   4 58   4 56   4 51   4 47   4 42   4 42   4 40   4 37   4 34   4 30   4 26   4 22   4 17   4 11   4  4   3 56   3 46   3 35   3 21
 78    3 53   4  9   4 21   4 30   4 37   4 43   4 50   4 54   4 56   4 55   4 52   4 46   4 41   4 35   4 35   4 32   4 29   4 26   4 21   4 17   4 12   4  6   3 59   3 51   3 42   3 30   3 17   3  0
 82    4  2   4 17   4 27   4 35   4 41   4 45   4 51   4 54   4 55   4 53   4 49   4 41   4 35   4 28   4 28   4 25   4 21   4 17   4 12   4  7   4  1   3 54   3 46   3 37   3 26   3 13   2 57   2 37
 86    4 11   4 24   4 33   4 39   4 44   4 48   4 52   4 54   4 53   4 51   4 45   4 36   4 29   4 21   4 21   4 17   4 13   4  8   4  3   3 57   3 50   3 42   3 33   3 23   3 10   2 55   2 36   2 11
 90    4 20   4 30   4 38   4 43   4 48   4 50   4 54   4 54   4 52   4 48   4 41   4 31   4 23   4 14   4 14   4 10   4  5   3 59   3 53   3 47   3 39   3 30   3 20   3  8   2 53   2 35   2 12   1 38
 94    4 28   4 37   4 43   4 48   4 51   4 53   4 55   4 54   4 51   4 46   4 37   4 25   4 17   4  7   4  7   4  2   3 56   3 50   3 44   3 36   3 28   3 18   3  6   2 52   2 35   2 13   1 44   0 50
 98    4 36   4 43   4 48   4 52   4 54   4 55   4 56   4 54   4 49   4 43   4 34   4 20   4 11   3 59   3 59   3 54   3 48   3 41   3 34   3 25   3 16   3  4   2 51   2 35   2 15   1 48   1  5  ** **
102    4 44   4 49   4 53   4 55   4 57   4 57   4 56   4 53   4 48   4 41   4 30   4 15   4  4   3 52   3 52   3 46   3 39   3 32   3 24   3 14   3  3   2 51   2 36   2 17   1 53   1 16  ** **  ** **
106    4 51   4 55   4 58   4 59   5  0   5  0   4 57   4 53   4 47   4 38   4 26   4  9   3 58   3 45   3 45   3 38   3 31   3 23   3 14   3  3   2 51   2 37   2 19   1 57   1 26   0 17  ** **  ** **
110    4 58   5  1   5  2   5  3   5  3   5  2   4 58   4 53   4 46   4 36   4 23   4  4   3 52   3 37   3 37   3 30   3 22   3 13   3  3   2 52   2 38   2 22   2  1   1 34   0 48  ** **  ** **  ** **
114    5  5   5  7   5  7   5  7   5  5   5  4   4 59   4 53   4 44   4 33   4 19   3 59   3 46   3 30   3 30   3 22   3 14   3  4   2 53   2 40   2 25   2  6   1 41   1  5  ** **  ** **  ** **  ** **
118    5 12   5 12   5 11   5 10   5  8   5  6   5  0   4 53   4 43   4 31   4 16   3 54   3 40   3 23   3 23   3 14   3  5   2 54   2 42   2 28   2 11   1 49   1 18   0  7  ** **  ** **  ** **  ** **
122    5 18   5 17   5 16   5 13   5 11   5  8   5  1   4 53   4 42   4 29   4 13   3 50   3 35   3 16   3 16   3  7   2 57   2 45   2 32   2 16   1 56   1 30   0 47  ** **  ** **  ** **  ** **  ** **
126    5 24   5 22   5 20   5 17   5 14   5 10   5  2   4 53   4 41   4 28   4 10   3 45   3 29   3  9   3  9   2 59   2 48   2 36   2 21   2  3   1 40   1  7  ** **  ** **  ** **  ** **  ** **  ** **
130    5 30   5 27   5 24   5 20   5 16   5 12   5  3   4 53   4 41   4 26   4  7   3 41   3 24   3  3   3  3   2 52   2 40   2 27   2 10   1 50   1 23   0 37  ** **  ** **  ** **  ** **  ** **  ** **
134    5 36   5 32   5 28   5 23   5 19   5 14   5  4   4 53   4 40   4 25   4  5   3 37   3 19   2 57   2 57   2 45   2 33   2 18   2  0   1 37   1  3  ** **  ** **  ** **  ** **  ** **  ** **  ** **
138    5 41   5 36   5 31   5 26   5 21   5 16   5  6   4 54   4 40   4 23   4  2   3 34   3 15   2 51   2 51   2 39   2 25   2  9   1 49   1 22   0 38  ** **  ** **  ** **  ** **  ** **  ** **  ** **
142    5 46   5 40   5 35   5 29   5 24   5 18   5  7   4 54   4 40   4 22   4  0   3 31   3 11   2 46   2 46   2 33   2 18   2  1   1 38   1  7  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
146    5 51   5 44   5 38   5 32   5 26   5 20   5  8   4 55   4 40   4 22   3 59   3 28   3  8   2 41   2 41   2 27   2 12   1 53   1 28   0 50  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
150    5 55   5 48   5 41   5 35   5 28   5 22   5  9   4 55   4 40   4 21   3 58   3 26   3  5   2 37   2 37   2 23   2  6   1 46   1 18   0 28  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
154    5 59   5 51   5 44   5 37   5 30   5 24   5 10   4 56   4 40   4 21   3 57   3 24   3  2   2 33   2 33   2 19   2  1   1 39   1  8  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
158    6  2   5 54   5 46   5 39   5 32   5 25   5 12   4 57   4 40   4 21   3 56   3 23   3  0   2 31   2 31   2 15   1 57   1 34   0 59  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
162    6  5   5 56   5 48   5 41   5 34   5 27   5 13   4 58   4 41   4 21   3 56   3 22   2 59   2 29   2 29   2 13   1 54   1 29   0 52  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
166    6  7   5 58   5 50   5 42   5 35   5 28   5 14   4 59   4 42   4 22   3 56   3 22   2 59   2 28   2 28   2 12   1 52   1 27   0 45  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
170    6  8   5 59   5 51   5 44   5 36   5 29   5 15   5  0   4 43   4 22   3 57   3 22   2 59   2 28   2 28   2 11   1 52   1 25   0 42  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
