   2453115.032639           1.8554802        + 10.299210       397461.569
   2453115.033333           1.8560047        + 10.302945       397463.624
   2453115.034028           1.8565291        + 10.306681       397465.678
   2453115.034722           1.8570535        + 10.310416       397467.733
   2453115.035417           1.8575779        + 10.314150       397469.787
   2453115.036111           1.8581024        + 10.317885       397471.841
   2453115.036806           1.8586268        + 10.321620       397473.895
   2453115.037500           1.8591513        + 10.325354       397475.949
   2453115.038194           1.8596758        + 10.329088       397478.003
   2453115.038889           1.8602002        + 10.332821       397480.056
   2453115.039583           1.8607247        + 10.336555       397482.110
   2453115.040278           1.8612492        + 10.340288       397484.163
   2453115.040972           1.8617737        + 10.344021       397486.216
   2453115.041667           1.8622982        + 10.347754       397488.269
   2453115.042361           1.8628227        + 10.351487       397490.322
   2453115.043056           1.8633472        + 10.355219       397492.374
   2453115.043750           1.8638717        + 10.358951       397494.427
   2453115.044444           1.8643963        + 10.362683       397496.479
   2453115.045139           1.8649208        + 10.366415       397498.532
   2453115.045833           1.8654453        + 10.370146       397500.584
   2453115.046528           1.8659699        + 10.373877       397502.636
   2453115.047222           1.8664944        + 10.377608       397504.688
   2453115.047917           1.8670190        + 10.381339       397506.739
   2453115.048611           1.8675436        + 10.385070       397508.791
   2453115.049306           1.8680681        + 10.388800       397510.842
   2453115.050000           1.8685927        + 10.392530       397512.894
   2453115.050694           1.8691173        + 10.396260       397514.945
   2453115.051389           1.8696419        + 10.399989       397516.996
   2453115.052083           1.8701665        + 10.403719       397519.047
   2453115.052778           1.8706911        + 10.407448       397521.097
   2453115.053472           1.8712158        + 10.411177       397523.148
   2453115.054167           1.8717404        + 10.414906       397525.198
   2453115.054861           1.8722650        + 10.418634       397527.249
   2453115.055556           1.8727897        + 10.422362       397529.299
   2453115.056250           1.8733143        + 10.426090       397531.349
   2453115.056944           1.8738390        + 10.429818       397533.399
   2453115.057639           1.8743636        + 10.433546       397535.448
   2453115.058333           1.8748883        + 10.437273       397537.498
   2453115.059028           1.8754130        + 10.441000       397539.547
   2453115.059722           1.8759377        + 10.444727       397541.597
   2453115.060417           1.8764623        + 10.448453       397543.646
   2453115.061111           1.8769870        + 10.452180       397545.695
   2453115.061806           1.8775118        + 10.455906       397547.744
   2453115.062500           1.8780365        + 10.459632       397549.792
   2453115.063194           1.8785612        + 10.463357       397551.841
   2453115.063889           1.8790859        + 10.467083       397553.889
   2453115.064583           1.8796106        + 10.470808       397555.938
   2453115.065278           1.8801354        + 10.474533       397557.986
   2453115.065972           1.8806601        + 10.478258       397560.034
   2453115.066667           1.8811849        + 10.481982       397562.082
   2453115.067361           1.8817097        + 10.485707       397564.129
   2453115.068056           1.8822344        + 10.489431       397566.177
   2453115.068750           1.8827592        + 10.493155       397568.224
   2453115.069444           1.8832840        + 10.496878       397570.271
   2453115.070139           1.8838088        + 10.500602       397572.319
   2453115.070833           1.8843336        + 10.504325       397574.366
   2453115.071528           1.8848584        + 10.508048       397576.412
   2453115.072222           1.8853832        + 10.511770       397578.459
   2453115.072917           1.8859080        + 10.515493       397580.506
   2453115.073611           1.8864329        + 10.519215       397582.552
   2453115.074306           1.8869577        + 10.522937       397584.598
   2453115.075000           1.8874825        + 10.526659       397586.645
   2453115.075694           1.8880074        + 10.530380       397588.691
   2453115.076389           1.8885322        + 10.534102       397590.736
   2453115.077083           1.8890571        + 10.537823       397592.782
   2453115.077778           1.8895820        + 10.541543       397594.828
   2453115.078472           1.8901068        + 10.545264       397596.873
   2453115.079167           1.8906317        + 10.548984       397598.918
   2453115.079861           1.8911566        + 10.552704       397600.963
