                                SIDEREAL TIME                                
     
                               Astrografo ROA                                
               Location:     0°00'00.0",   0°00'00.0",     0m                
                 (Longitude referred to Ephemeris meridian)                  
     
                              Ephemeris                Local         Equation
     Julian Date            Sidereal Time          Sidereal Time       of the
         (TT)                  Mean    App.           Mean    App.   Equinoxes
          d              h  m   s       s       h  m   s       s        s
   2451904.125000       21 17 43.4949 42.4889  21 17 43.4949 42.4889  -1.0060
   2451904.125694       21 18 43.6592 42.6532  21 18 43.6592 42.6532  -1.0060
   2451904.126389       21 19 43.8235 42.8174  21 19 43.8235 42.8174  -1.0060
   2451904.127083       21 20 43.9877 42.9817  21 20 43.9877 42.9817  -1.0060
   2451904.127778       21 21 44.1520 43.1460  21 21 44.1520 43.1460  -1.0060
   2451904.128472       21 22 44.3163 43.3103  21 22 44.3163 43.3103  -1.0060
   2451904.129167       21 23 44.4806 43.4746  21 23 44.4806 43.4746  -1.0060
   2451904.129861       21 24 44.6449 43.6388  21 24 44.6449 43.6388  -1.0060
   2451904.130556       21 25 44.8091 43.8031  21 25 44.8091 43.8031  -1.0060
   2451904.131250       21 26 44.9734 43.9674  21 26 44.9734 43.9674  -1.0060
   2451904.131944       21 27 45.1377 44.1317  21 27 45.1377 44.1317  -1.0060
   2451904.132639       21 28 45.3019 44.2960  21 28 45.3019 44.2960  -1.0060
   2451904.133333       21 29 45.4662 44.4602  21 29 45.4662 44.4602  -1.0060
   2451904.134028       21 30 45.6305 44.6245  21 30 45.6305 44.6245  -1.0060
   2451904.134722       21 31 45.7948 44.7888  21 31 45.7948 44.7888  -1.0060
   2451904.135417       21 32 45.9590 44.9531  21 32 45.9590 44.9531  -1.0060
   2451904.136111       21 33 46.1233 45.1173  21 33 46.1233 45.1173  -1.0060
   2451904.136806       21 34 46.2876 45.2816  21 34 46.2876 45.2816  -1.0060
   2451904.137500       21 35 46.4519 45.4459  21 35 46.4519 45.4459  -1.0060
   2451904.138194       21 36 46.6161 45.6102  21 36 46.6161 45.6102  -1.0059
   2451904.138889       21 37 46.7804 45.7745  21 37 46.7804 45.7745  -1.0059
   2451904.139583       21 38 46.9447 45.9388  21 38 46.9447 45.9388  -1.0059
   2451904.140278       21 39 47.1090 46.1030  21 39 47.1090 46.1030  -1.0059
   2451904.140972       21 40 47.2732 46.2673  21 40 47.2732 46.2673  -1.0059
   2451904.141667       21 41 47.4375 46.4316  21 41 47.4375 46.4316  -1.0059
   2451904.142361       21 42 47.6018 46.5959  21 42 47.6018 46.5959  -1.0059
   2451904.143056       21 43 47.7660 46.7601  21 43 47.7660 46.7601  -1.0059
   2451904.143750       21 44 47.9303 46.9244  21 44 47.9303 46.9244  -1.0059
   2451904.144444       21 45 48.0946 47.0887  21 45 48.0946 47.0887  -1.0059
   2451904.145139       21 46 48.2589 47.2530  21 46 48.2589 47.2530  -1.0059
   2451904.145833       21 47 48.4232 47.4173  21 47 48.4232 47.4173  -1.0059
   2451904.146528       21 48 48.5874 47.5816  21 48 48.5874 47.5816  -1.0059
   2451904.147222       21 49 48.7517 47.7458  21 49 48.7517 47.7458  -1.0059
   2451904.147917       21 50 48.9160 47.9101  21 50 48.9160 47.9101  -1.0059
   2451904.148611       21 51 49.0803 48.0744  21 51 49.0803 48.0744  -1.0059
   2451904.149306       21 52 49.2445 48.2387  21 52 49.2445 48.2387  -1.0059
   2451904.150000       21 53 49.4088 48.4029  21 53 49.4088 48.4029  -1.0059
   2451904.150694       21 54 49.5731 48.5672  21 54 49.5731 48.5672  -1.0059
   2451904.151389       21 55 49.7373 48.7315  21 55 49.7373 48.7315  -1.0058
   2451904.152083       21 56 49.9016 48.8958  21 56 49.9016 48.8958  -1.0058
   2451904.152778       21 57 50.0659 49.0601  21 57 50.0659 49.0601  -1.0058
   2451904.153472       21 58 50.2302 49.2244  21 58 50.2302 49.2244  -1.0058
   2451904.154167       21 59 50.3945 49.3886  21 59 50.3945 49.3886  -1.0058
   2451904.154861       22 00 50.5587 49.5529  22 00 50.5587 49.5529  -1.0058
   2451904.155556       22 01 50.7230 49.7172  22 01 50.7230 49.7172  -1.0058
   2451904.156250       22 02 50.8873 49.8815  22 02 50.8873 49.8815  -1.0058
   2451904.156944       22 03 51.0515 50.0457  22 03 51.0515 50.0457  -1.0058
   2451904.157639       22 04 51.2158 50.2100  22 04 51.2158 50.2100  -1.0058
   2451904.158333       22 05 51.3801 50.3743  22 05 51.3801 50.3743  -1.0058
   2451904.159028       22 06 51.5444 50.5386  22 06 51.5444 50.5386  -1.0058
   2451904.159722       22 07 51.7086 50.7028  22 07 51.7086 50.7028  -1.0058
   2451904.160417       22 08 51.8729 50.8672  22 08 51.8729 50.8672  -1.0058
   2451904.161111       22 09 52.0372 51.0314  22 09 52.0372 51.0314  -1.0058
   2451904.161806       22 10 52.2015 51.1957  22 10 52.2015 51.1957  -1.0058
   2451904.162500       22 11 52.3658 51.3600  22 11 52.3658 51.3600  -1.0058
   2451904.163194       22 12 52.5300 51.5243  22 12 52.5300 51.5243  -1.0058
   2451904.163889       22 13 52.6943 51.6885  22 13 52.6943 51.6885  -1.0058
   2451904.164583       22 14 52.8586 51.8528  22 14 52.8586 51.8528  -1.0058
   2451904.165278       22 15 53.0228 52.0171  22 15 53.0228 52.0171  -1.0057
   2451904.165972       22 16 53.1871 52.1814  22 16 53.1871 52.1814  -1.0057
   2451904.166667       22 17 53.3514 52.3456  22 17 53.3514 52.3456  -1.0057
   2451904.167361       22 18 53.5157 52.5099  22 18 53.5157 52.5099  -1.0057
   2451904.168056       22 19 53.6800 52.6742  22 19 53.6800 52.6742  -1.0057
   2451904.168750       22 20 53.8442 52.8385  22 20 53.8442 52.8385  -1.0057
   2451904.169444       22 21 54.0085 53.0028  22 21 54.0085 53.0028  -1.0057
   2451904.170139       22 22 54.1728 53.1671  22 22 54.1728 53.1671  -1.0057
   2451904.170833       22 23 54.3370 53.3313  22 23 54.3370 53.3313  -1.0057
   2451904.171528       22 24 54.5013 53.4956  22 24 54.5013 53.4956  -1.0057
   2451904.172222       22 25 54.6656 53.6599  22 25 54.6656 53.6599  -1.0057
   2451904.172917       22 26 54.8299 53.8242  22 26 54.8299 53.8242  -1.0057
   2451904.173611       22 27 54.9941 53.9884  22 27 54.9941 53.9884  -1.0057
   2451904.174306       22 28 55.1584 54.1527  22 28 55.1584 54.1527  -1.0057
   2451904.175000       22 29 55.3227 54.3170  22 29 55.3227 54.3170  -1.0057
   2451904.175694       22 30 55.4869 54.4813  22 30 55.4869 54.4813  -1.0057
   2451904.176389       22 31 55.6513 54.6456  22 31 55.6513 54.6456  -1.0057
   2451904.177083       22 32 55.8155 54.8099  22 32 55.8155 54.8099  -1.0057
   2451904.177778       22 33 55.9798 54.9741  22 33 55.9798 54.9741  -1.0057
   2451904.178472       22 34 56.1441 55.1384  22 34 56.1441 55.1384  -1.0056
   2451904.179167       22 35 56.3083 55.3027  22 35 56.3083 55.3027  -1.0056
   2451904.179861       22 36 56.4726 55.4670  22 36 56.4726 55.4670  -1.0056
   2451904.180556       22 37 56.6369 55.6312  22 37 56.6369 55.6312  -1.0056
   2451904.181250       22 38 56.8012 55.7955  22 38 56.8012 55.7955  -1.0056
   2451904.181944       22 39 56.9654 55.9598  22 39 56.9654 55.9598  -1.0056
   2451904.182639       22 40 57.1297 56.1241  22 40 57.1297 56.1241  -1.0056
   2451904.183333       22 41 57.2940 56.2884  22 41 57.2940 56.2884  -1.0056
   2451904.184028       22 42 57.4583 56.4527  22 42 57.4583 56.4527  -1.0056
   2451904.184722       22 43 57.6225 56.6169  22 43 57.6225 56.6169  -1.0056
   2451904.185417       22 44 57.7868 56.7812  22 44 57.7868 56.7812  -1.0056
   2451904.186111       22 45 57.9511 56.9455  22 45 57.9511 56.9455  -1.0056
   2451904.186806       22 46 58.1154 57.1098  22 46 58.1154 57.1098  -1.0056
   2451904.187500       22 47 58.2796 57.2740  22 47 58.2796 57.2740  -1.0056
   2451904.188194       22 48 58.4439 57.4383  22 48 58.4439 57.4383  -1.0056
   2451904.188889       22 49 58.6082 57.6026  22 49 58.6082 57.6026  -1.0056
   2451904.189583       22 50 58.7724 57.7669  22 50 58.7724 57.7669  -1.0056
   2451904.190278       22 51 58.9367 57.9312  22 51 58.9367 57.9312  -1.0056
   2451904.190972       22 52 59.1010 58.0954  22 52 59.1010 58.0954  -1.0056
   2451904.191667       22 53 59.2653 58.2597  22 53 59.2653 58.2597  -1.0055
   2451904.192361       22 54 59.4296 58.4240  22 54 59.4296 58.4240  -1.0055
   2451904.193056       22 55 59.5938 58.5883  22 55 59.5938 58.5883  -1.0055
   2451904.193750       22 56 59.7581 58.7526  22 56 59.7581 58.7526  -1.0055
   2451904.194444       22 57 59.9224 58.9169  22 57 59.9224 58.9169  -1.0055
   2451904.195139       22 58 60.0867 59.0811  22 58 60.0867 59.0811  -1.0055
   2451904.195833       22 59 60.2509 59.2454  22 59 60.2509 59.2454  -1.0055
   2451904.196528       23 00 60.4152 59.4097  23 00 60.4152 59.4097  -1.0055
   2451904.197222       23 01 60.5795 59.5740  23 01 60.5795 59.5740  -1.0055
   2451904.197917       23 02 60.7437 59.7382  23 02 60.7437 59.7382  -1.0055
   2451904.198611       23 03 60.9080 59.9025  23 03 60.9080 59.9025  -1.0055
   2451904.199306       23 05 01.0723 00.0668  23 05 01.0723 00.0668  -1.0055
   2451904.200000       23 06 01.2366 00.2311  23 06 01.2366 00.2311  -1.0055
   2451904.200694       23 07 01.4009 00.3954  23 07 01.4009 00.3954  -1.0055
   2451904.201389       23 08 01.5651 00.5597  23 08 01.5651 00.5597  -1.0055
   2451904.202083       23 09 01.7294 00.7239  23 09 01.7294 00.7239  -1.0055
   2451904.202778       23 10 01.8937 00.8882  23 10 01.8937 00.8882  -1.0055
   2451904.203472       23 11 02.0579 01.0525  23 11 02.0579 01.0525  -1.0055
   2451904.204167       23 12 02.2222 01.2168  23 12 02.2222 01.2168  -1.0055
   2451904.204861       23 13 02.3865 01.3810  23 13 02.3865 01.3810  -1.0055
   2451904.205556       23 14 02.5508 01.5453  23 14 02.5508 01.5453  -1.0054
   2451904.206250       23 15 02.7150 01.7096  23 15 02.7150 01.7096  -1.0054
   2451904.206944       23 16 02.8793 01.8739  23 16 02.8793 01.8739  -1.0054
   2451904.207639       23 17 03.0436 02.0382  23 17 03.0436 02.0382  -1.0054
   2451904.208333       23 18 03.2079 02.2025  23 18 03.2079 02.2025  -1.0054
   2451904.209028       23 19 03.3722 02.3667  23 19 03.3722 02.3667  -1.0054
   2451904.209722       23 20 03.5364 02.5310  23 20 03.5364 02.5310  -1.0054
   2451904.210417       23 21 03.7007 02.6953  23 21 03.7007 02.6953  -1.0054
   2451904.211111       23 22 03.8650 02.8596  23 22 03.8650 02.8596  -1.0054
   2451904.211806       23 23 04.0292 03.0238  23 23 04.0292 03.0238  -1.0054
   2451904.212500       23 24 04.1935 03.1881  23 24 04.1935 03.1881  -1.0054
   2451904.213194       23 25 04.3578 03.3524  23 25 04.3578 03.3524  -1.0054
   2451904.213889       23 26 04.5220 03.5167  23 26 04.5220 03.5167  -1.0054
   2451904.214583       23 27 04.6863 03.6809  23 27 04.6863 03.6809  -1.0054
   2451904.215278       23 28 04.8506 03.8453  23 28 04.8506 03.8453  -1.0054
   2451904.215972       23 29 05.0149 04.0095  23 29 05.0149 04.0095  -1.0054
   2451904.216667       23 30 05.1792 04.1738  23 30 05.1792 04.1738  -1.0054
   2451904.217361       23 31 05.3434 04.3381  23 31 05.3434 04.3381  -1.0054
   2451904.218056       23 32 05.5077 04.5024  23 32 05.5077 04.5024  -1.0054
   2451904.218750       23 33 05.6720 04.6666  23 33 05.6720 04.6666  -1.0053
   2451904.219444       23 34 05.8363 04.8309  23 34 05.8363 04.8309  -1.0053
   2451904.220139       23 35 06.0005 04.9952  23 35 06.0005 04.9952  -1.0053
   2451904.220833       23 36 06.1648 05.1595  23 36 06.1648 05.1595  -1.0053
   2451904.221528       23 37 06.3291 05.3237  23 37 06.3291 05.3237  -1.0053
   2451904.222222       23 38 06.4933 05.4880  23 38 06.4933 05.4880  -1.0053
   2451904.222917       23 39 06.6577 05.6523  23 39 06.6577 05.6523  -1.0053
   2451904.223611       23 40 06.8219 05.8166  23 40 06.8219 05.8166  -1.0053
   2451904.224306       23 41 06.9862 05.9809  23 41 06.9862 05.9809  -1.0053
   2451904.225000       23 42 07.1505 06.1452  23 42 07.1505 06.1452  -1.0053
   2451904.225694       23 43 07.3147 06.3094  23 43 07.3147 06.3094  -1.0053
   2451904.226389       23 44 07.4790 06.4737  23 44 07.4790 06.4737  -1.0053
   2451904.227083       23 45 07.6433 06.6380  23 45 07.6433 06.6380  -1.0053
   2451904.227778       23 46 07.8075 06.8023  23 46 07.8075 06.8023  -1.0053
   2451904.228472       23 47 07.9718 06.9665  23 47 07.9718 06.9665  -1.0053
   2451904.229167       23 48 08.1361 07.1308  23 48 08.1361 07.1308  -1.0053
   2451904.229861       23 49 08.3004 07.2951  23 49 08.3004 07.2951  -1.0053
   2451904.230556       23 50 08.4647 07.4594  23 50 08.4647 07.4594  -1.0053
   2451904.231250       23 51 08.6289 07.6237  23 51 08.6289 07.6237  -1.0053
   2451904.231944       23 52 08.7932 07.7880  23 52 08.7932 07.7880  -1.0053
   2451904.232639       23 53 08.9575 07.9522  23 53 08.9575 07.9522  -1.0052
   2451904.233333       23 54 09.1218 08.1165  23 54 09.1218 08.1165  -1.0052
   2451904.234028       23 55 09.2860 08.2808  23 55 09.2860 08.2808  -1.0052
   2451904.234722       23 56 09.4503 08.4451  23 56 09.4503 08.4451  -1.0052
   2451904.235417       23 57 09.6146 08.6093  23 57 09.6146 08.6093  -1.0052
