                                SIDEREAL TIME                                
     
                               Astrografo ROA                                
               Location:     0°00'00.0",   0°00'00.0",     0m                
                 (Longitude referred to Ephemeris meridian)                  
     
                              Ephemeris                Local         Equation
     Julian Date            Sidereal Time          Sidereal Time       of the
         (TT)                  Mean    App.           Mean    App.   Equinoxes
          d              h  m   s       s       h  m   s       s        s
   2455197.208333       23 41 00.0350 01.0372  23 41 00.0350 01.0372  +1.0021
   2455197.209028       23 42 00.1993 01.2015  23 42 00.1993 01.2015  +1.0021
   2455197.209722       23 43 00.3636 01.3657  23 43 00.3636 01.3657  +1.0021
   2455197.210417       23 44 00.5279 01.5300  23 44 00.5279 01.5300  +1.0022
   2455197.211111       23 45 00.6921 01.6943  23 45 00.6921 01.6943  +1.0022
   2455197.211806       23 46 00.8564 01.8586  23 46 00.8564 01.8586  +1.0022
   2455197.212500       23 47 01.0207 02.0229  23 47 01.0207 02.0229  +1.0022
   2455197.213194       23 48 01.1850 02.1872  23 48 01.1850 02.1872  +1.0022
   2455197.213889       23 49 01.3493 02.3514  23 49 01.3493 02.3514  +1.0022
   2455197.214583       23 50 01.5135 02.5157  23 50 01.5135 02.5157  +1.0022
   2455197.215278       23 51 01.6778 02.6800  23 51 01.6778 02.6800  +1.0022
   2455197.215972       23 52 01.8421 02.8443  23 52 01.8421 02.8443  +1.0022
   2455197.216667       23 53 02.0063 03.0086  23 53 02.0063 03.0086  +1.0022
   2455197.217361       23 54 02.1706 03.1728  23 54 02.1706 03.1728  +1.0022
   2455197.218056       23 55 02.3349 03.3371  23 55 02.3349 03.3371  +1.0022
   2455197.218750       23 56 02.4991 03.5014  23 56 02.4991 03.5014  +1.0023
   2455197.219444       23 57 02.6634 03.6657  23 57 02.6634 03.6657  +1.0023
   2455197.220139       23 58 02.8277 03.8300  23 58 02.8277 03.8300  +1.0023
   2455197.220833       23 59 02.9920 03.9943  23 59 02.9920 03.9943  +1.0023
   2455197.221528        0 00 03.1563 04.1586   0 00 03.1563 04.1586  +1.0023
   2455197.222222        0 01 03.3205 04.3228   0 01 03.3205 04.3228  +1.0023
   2455197.222917        0 02 03.4848 04.4871   0 02 03.4848 04.4871  +1.0023
   2455197.223611        0 03 03.6491 04.6514   0 03 03.6491 04.6514  +1.0023
   2455197.224306        0 04 03.8134 04.8157   0 04 03.8134 04.8157  +1.0023
   2455197.225000        0 05 03.9776 04.9800   0 05 03.9776 04.9800  +1.0023
   2455197.225694        0 06 04.1419 05.1442   0 06 04.1419 05.1442  +1.0023
   2455197.226389        0 07 04.3062 05.3085   0 07 04.3062 05.3085  +1.0024
   2455197.227083        0 08 04.4704 05.4728   0 08 04.4704 05.4728  +1.0024
   2455197.227778        0 09 04.6347 05.6371   0 09 04.6347 05.6371  +1.0024
   2455197.228472        0 10 04.7990 05.8014   0 10 04.7990 05.8014  +1.0024
   2455197.229167        0 11 04.9633 05.9657   0 11 04.9633 05.9657  +1.0024
   2455197.229861        0 12 05.1276 06.1300   0 12 05.1276 06.1300  +1.0024
   2455197.230556        0 13 05.2918 06.2942   0 13 05.2918 06.2942  +1.0024
   2455197.231250        0 14 05.4561 06.4585   0 14 05.4561 06.4585  +1.0024
   2455197.231944        0 15 05.6204 06.6228   0 15 05.6204 06.6228  +1.0024
   2455197.232639        0 16 05.7846 06.7871   0 16 05.7846 06.7871  +1.0024
   2455197.233333        0 17 05.9489 06.9514   0 17 05.9489 06.9514  +1.0024
   2455197.234028        0 18 06.1132 07.1156   0 18 06.1132 07.1156  +1.0024
   2455197.234722        0 19 06.2775 07.2799   0 19 06.2775 07.2799  +1.0025
   2455197.235417        0 20 06.4417 07.4442   0 20 06.4417 07.4442  +1.0025
   2455197.236111        0 21 06.6060 07.6085   0 21 06.6060 07.6085  +1.0025
   2455197.236806        0 22 06.7703 07.7728   0 22 06.7703 07.7728  +1.0025
   2455197.237500        0 23 06.9346 07.9371   0 23 06.9346 07.9371  +1.0025
   2455197.238194        0 24 07.0989 08.1014   0 24 07.0989 08.1014  +1.0025
   2455197.238889        0 25 07.2631 08.2656   0 25 07.2631 08.2656  +1.0025
   2455197.239583        0 26 07.4274 08.4299   0 26 07.4274 08.4299  +1.0025
   2455197.240278        0 27 07.5917 08.5942   0 27 07.5917 08.5942  +1.0025
   2455197.240972        0 28 07.7559 08.7585   0 28 07.7559 08.7585  +1.0025
   2455197.241667        0 29 07.9202 08.9228   0 29 07.9202 08.9228  +1.0025
   2455197.242361        0 30 08.0845 09.0870   0 30 08.0845 09.0870  +1.0025
   2455197.243056        0 31 08.2488 09.2513   0 31 08.2488 09.2513  +1.0026
   2455197.243750        0 32 08.4131 09.4156   0 32 08.4131 09.4156  +1.0026
   2455197.244444        0 33 08.5773 09.5799   0 33 08.5773 09.5799  +1.0026
   2455197.245139        0 34 08.7416 09.7442   0 34 08.7416 09.7442  +1.0026
   2455197.245833        0 35 08.9059 09.9085   0 35 08.9059 09.9085  +1.0026
   2455197.246528        0 36 09.0701 10.0727   0 36 09.0701 10.0727  +1.0026
   2455197.247222        0 37 09.2344 10.2370   0 37 09.2344 10.2370  +1.0026
   2455197.247917        0 38 09.3987 10.4013   0 38 09.3987 10.4013  +1.0026
   2455197.248611        0 39 09.5630 10.5656   0 39 09.5630 10.5656  +1.0026
   2455197.249306        0 40 09.7272 10.7299   0 40 09.7272 10.7299  +1.0026
   2455197.250000        0 41 09.8915 10.8941   0 41 09.8915 10.8941  +1.0026
   2455197.250694        0 42 10.0558 11.0584   0 42 10.0558 11.0584  +1.0027
   2455197.251389        0 43 10.2201 11.2227   0 43 10.2201 11.2227  +1.0027
   2455197.252083        0 44 10.3844 11.3870   0 44 10.3844 11.3870  +1.0027
   2455197.252778        0 45 10.5486 11.5513   0 45 10.5486 11.5513  +1.0027
   2455197.253472        0 46 10.7129 11.7156   0 46 10.7129 11.7156  +1.0027
   2455197.254167        0 47 10.8772 11.8799   0 47 10.8772 11.8799  +1.0027
   2455197.254861        0 48 11.0414 12.0441   0 48 11.0414 12.0441  +1.0027
   2455197.255556        0 49 11.2057 12.2084   0 49 11.2057 12.2084  +1.0027
   2455197.256250        0 50 11.3700 12.3727   0 50 11.3700 12.3727  +1.0027
   2455197.256944        0 51 11.5343 12.5370   0 51 11.5343 12.5370  +1.0027
   2455197.257639        0 52 11.6985 12.7013   0 52 11.6985 12.7013  +1.0027
   2455197.258333        0 53 11.8628 12.8655   0 53 11.8628 12.8655  +1.0027
   2455197.259028        0 54 12.0271 13.0298   0 54 12.0271 13.0298  +1.0028
   2455197.259722        0 55 12.1914 13.1941   0 55 12.1914 13.1941  +1.0028
   2455197.260417        0 56 12.3556 13.3584   0 56 12.3556 13.3584  +1.0028
   2455197.261111        0 57 12.5199 13.5227   0 57 12.5199 13.5227  +1.0028
   2455197.261806        0 58 12.6842 13.6870   0 58 12.6842 13.6870  +1.0028
   2455197.262500        0 59 12.8485 13.8513   0 59 12.8485 13.8513  +1.0028
   2455197.263194        1 00 13.0127 14.0155   1 00 13.0127 14.0155  +1.0028
   2455197.263889        1 01 13.1770 14.1798   1 01 13.1770 14.1798  +1.0028
   2455197.264583        1 02 13.3413 14.3441   1 02 13.3413 14.3441  +1.0028
   2455197.265278        1 03 13.5055 14.5084   1 03 13.5055 14.5084  +1.0028
   2455197.265972        1 04 13.6698 14.6727   1 04 13.6698 14.6727  +1.0028
   2455197.266667        1 05 13.8341 14.8369   1 05 13.8341 14.8369  +1.0028
   2455197.267361        1 06 13.9984 15.0013   1 06 13.9984 15.0013  +1.0029
   2455197.268056        1 07 14.1627 15.1655   1 07 14.1627 15.1655  +1.0029
   2455197.268750        1 08 14.3269 15.3298   1 08 14.3269 15.3298  +1.0029
   2455197.269444        1 09 14.4912 15.4941   1 09 14.4912 15.4941  +1.0029
   2455197.270139        1 10 14.6555 15.6584   1 10 14.6555 15.6584  +1.0029
   2455197.270833        1 11 14.8198 15.8227   1 11 14.8198 15.8227  +1.0029
   2455197.271528        1 12 14.9840 15.9869   1 12 14.9840 15.9869  +1.0029
   2455197.272222        1 13 15.1483 16.1512   1 13 15.1483 16.1512  +1.0029
   2455197.272917        1 14 15.3126 16.3155   1 14 15.3126 16.3155  +1.0029
   2455197.273611        1 15 15.4768 16.4798   1 15 15.4768 16.4798  +1.0029
   2455197.274306        1 16 15.6411 16.6441   1 16 15.6411 16.6441  +1.0029
   2455197.275000        1 17 15.8054 16.8084   1 17 15.8054 16.8084  +1.0030
   2455197.275694        1 18 15.9697 16.9726   1 18 15.9697 16.9726  +1.0030
   2455197.276389        1 19 16.1340 17.1369   1 19 16.1340 17.1369  +1.0030
   2455197.277083        1 20 16.2982 17.3012   1 20 16.2982 17.3012  +1.0030
   2455197.277778        1 21 16.4625 17.4655   1 21 16.4625 17.4655  +1.0030
   2455197.278472        1 22 16.6268 17.6298   1 22 16.6268 17.6298  +1.0030
   2455197.279167        1 23 16.7910 17.7940   1 23 16.7910 17.7940  +1.0030
   2455197.279861        1 24 16.9553 17.9583   1 24 16.9553 17.9583  +1.0030
   2455197.280556        1 25 17.1196 18.1226   1 25 17.1196 18.1226  +1.0030
   2455197.281250        1 26 17.2839 18.2869   1 26 17.2839 18.2869  +1.0030
   2455197.281944        1 27 17.4481 18.4512   1 27 17.4481 18.4512  +1.0030
   2455197.282639        1 28 17.6124 18.6155   1 28 17.6124 18.6155  +1.0030
   2455197.283333        1 29 17.7767 18.7798   1 29 17.7767 18.7798  +1.0031
   2455197.284028        1 30 17.9410 18.9440   1 30 17.9410 18.9440  +1.0031
   2455197.284722        1 31 18.1053 19.1083   1 31 18.1053 19.1083  +1.0031
   2455197.285417        1 32 18.2695 19.2726   1 32 18.2695 19.2726  +1.0031
   2455197.286111        1 33 18.4338 19.4369   1 33 18.4338 19.4369  +1.0031
   2455197.286806        1 34 18.5981 19.6012   1 34 18.5981 19.6012  +1.0031
   2455197.287500        1 35 18.7623 19.7654   1 35 18.7623 19.7654  +1.0031
   2455197.288194        1 36 18.9266 19.9297   1 36 18.9266 19.9297  +1.0031
   2455197.288889        1 37 19.0909 20.0940   1 37 19.0909 20.0940  +1.0031
   2455197.289583        1 38 19.2552 20.2583   1 38 19.2552 20.2583  +1.0031
   2455197.290278        1 39 19.4194 20.4226   1 39 19.4194 20.4226  +1.0031
   2455197.290972        1 40 19.5837 20.5869   1 40 19.5837 20.5869  +1.0031
   2455197.291667        1 41 19.7480 20.7512   1 41 19.7480 20.7512  +1.0032
   2455197.292361        1 42 19.9123 20.9154   1 42 19.9123 20.9154  +1.0032
   2455197.293056        1 43 20.0765 21.0797   1 43 20.0765 21.0797  +1.0032
   2455197.293750        1 44 20.2408 21.2440   1 44 20.2408 21.2440  +1.0032
   2455197.294444        1 45 20.4051 21.4083   1 45 20.4051 21.4083  +1.0032
   2455197.295139        1 46 20.5694 21.5726   1 46 20.5694 21.5726  +1.0032
   2455197.295833        1 47 20.7336 21.7368   1 47 20.7336 21.7368  +1.0032
   2455197.296528        1 48 20.8979 21.9011   1 48 20.8979 21.9011  +1.0032
   2455197.297222        1 49 21.0622 22.0654   1 49 21.0622 22.0654  +1.0032
   2455197.297917        1 50 21.2264 22.2297   1 50 21.2264 22.2297  +1.0032
   2455197.298611        1 51 21.3908 22.3940   1 51 21.3908 22.3940  +1.0032
   2455197.299306        1 52 21.5550 22.5583   1 52 21.5550 22.5583  +1.0032
   2455197.300000        1 53 21.7193 22.7226   1 53 21.7193 22.7226  +1.0033
   2455197.300694        1 54 21.8836 22.8868   1 54 21.8836 22.8868  +1.0033
   2455197.301389        1 55 22.0478 23.0511   1 55 22.0478 23.0511  +1.0033
   2455197.302083        1 56 22.2121 23.2154   1 56 22.2121 23.2154  +1.0033
   2455197.302778        1 57 22.3764 23.3797   1 57 22.3764 23.3797  +1.0033
   2455197.303472        1 58 22.5407 23.5439   1 58 22.5407 23.5439  +1.0033
   2455197.304167        1 59 22.7049 23.7082   1 59 22.7049 23.7082  +1.0033
   2455197.304861        2 00 22.8692 23.8725   2 00 22.8692 23.8725  +1.0033
   2455197.305556        2 01 23.0335 24.0368   2 01 23.0335 24.0368  +1.0033
   2455197.306250        2 02 23.1978 24.2011   2 02 23.1978 24.2011  +1.0033
   2455197.306944        2 03 23.3620 24.3654   2 03 23.3620 24.3654  +1.0033
   2455197.307639        2 04 23.5263 24.5297   2 04 23.5263 24.5297  +1.0033
   2455197.308333        2 05 23.6906 24.6939   2 05 23.6906 24.6939  +1.0034
   2455197.309028        2 06 23.8549 24.8582   2 06 23.8549 24.8582  +1.0034
   2455197.309722        2 07 24.0191 25.0225   2 07 24.0191 25.0225  +1.0034
   2455197.310417        2 08 24.1834 25.1868   2 08 24.1834 25.1868  +1.0034
   2455197.311111        2 09 24.3477 25.3511   2 09 24.3477 25.3511  +1.0034
   2455197.311806        2 10 24.5119 25.5153   2 10 24.5119 25.5153  +1.0034
   2455197.312500        2 11 24.6762 25.6796   2 11 24.6762 25.6796  +1.0034
   2455197.313194        2 12 24.8405 25.8439   2 12 24.8405 25.8439  +1.0034
   2455197.313889        2 13 25.0048 26.0082   2 13 25.0048 26.0082  +1.0034
   2455197.314583        2 14 25.1691 26.1725   2 14 25.1691 26.1725  +1.0034
   2455197.315278        2 15 25.3333 26.3368   2 15 25.3333 26.3368  +1.0034
   2455197.315972        2 16 25.4976 26.5011   2 16 25.4976 26.5011  +1.0035
   2455197.316667        2 17 25.6619 26.6653   2 17 25.6619 26.6653  +1.0035
   2455197.317361        2 18 25.8262 26.8296   2 18 25.8262 26.8296  +1.0035
   2455197.318056        2 19 25.9904 26.9939   2 19 25.9904 26.9939  +1.0035
   2455197.318750        2 20 26.1547 27.1582   2 20 26.1547 27.1582  +1.0035
